x	xend	y	yend	key	showSelected1
-6	0	-0.65	-0.35	2 1	1
6	0	-0.65	-0.35	3 1	1
-8.5	0	-0.65	-0.35	2 1	2
8.5	0	-0.65	-0.35	3 1	2
-14.5	-8.5	-1.65	-1.35	4 2	2
-2.5	-8.5	-1.65	-1.35	5 2	2
-8.5	0	-0.65	-0.35	2 1	3
8.5	0	-0.65	-0.35	3 1	3
-14.5	-8.5	-1.65	-1.35	4 2	3
-2.5	-8.5	-1.65	-1.35	5 2	3
-20.5	-14.5	-2.65	-2.35	6 4	3
-8.5	-14.5	-2.65	-2.35	7 4	3
-9	0	-0.65	-0.35	2 1	4
9	0	-0.65	-0.35	3 1	4
-18	-9	-1.65	-1.35	4 2	4
-6	-9	-1.65	-1.35	5 2	4
-24	-18	-2.65	-2.35	6 4	4
-12	-18	-2.65	-2.35	7 4	4
6	9	-1.65	-1.35	8 3	4
18	9	-1.65	-1.35	9 3	4
-9	0	-0.65	-0.35	2 1	5
9	0	-0.65	-0.35	3 1	5
-18	-9	-1.65	-1.35	4 2	5
-6	-9	-1.65	-1.35	5 2	5
-27	-18	-2.65	-2.35	6 4	5
-9	-18	-2.65	-2.35	7 4	5
6	9	-1.65	-1.35	8 3	5
18	9	-1.65	-1.35	9 3	5
-15	-9	-3.65	-3.35	10 7	5
-3	-9	-3.65	-3.35	11 7	5
-9	0	-0.65	-0.35	2 1	6
9	0	-0.65	-0.35	3 1	6
-18	-9	-1.65	-1.35	4 2	6
-6	-9	-1.65	-1.35	5 2	6
-27.5	-18	-2.65	-2.35	6 4	6
-8.5	-18	-2.65	-2.35	7 4	6
6	9	-1.65	-1.35	8 3	6
18	9	-1.65	-1.35	9 3	6
-12	-8.5	-3.65	-3.35	10 7	6
0	-8.5	-3.65	-3.35	11 7	6
-36	-27.5	-3.65	-3.35	12 6	6
-24	-27.5	-3.65	-3.35	13 6	6
-9	0	-0.65	-0.35	2 1	7
9	0	-0.65	-0.35	3 1	7
-18	-9	-1.65	-1.35	4 2	7
-6	-9	-1.65	-1.35	5 2	7
-27.5	-18	-2.65	-2.35	6 4	7
-8.5	-18	-2.65	-2.35	7 4	7
6	9	-1.65	-1.35	8 3	7
18	9	-1.65	-1.35	9 3	7
-10.25	-8.5	-3.65	-3.35	10 7	7
1.75	-8.5	-3.65	-3.35	11 7	7
