x	y	label	key	showSelected1	group
0	-0.3	p=0.39	1	0	-1
0	-0.3	$<0.05	1	1	-1
-6	-1.3	p=0.23	2	1	-1
6	-1.3	p=0.89	3	1	-1
0	-0.3	$<0.05	1	2	-1
-8.5	-1.3	remove<0.06	2	2	-1
8.5	-1.3	p=0.89	3	2	-1
-14.5	-2.3	p=0.16	4	2	-1
-2.5	-2.3	p=0.90	5	2	-1
0	-0.3	$<0.05	1	3	-1
-8.5	-1.3	remove<0.06	2	3	-1
8.5	-1.3	p=0.89	3	3	-1
-14.5	-2.3	!<0.19	4	3	-1
-2.5	-2.3	p=0.90	5	3	-1
-20.5	-3.3	p=0.08	6	3	-1
-8.5	-3.3	p=0.50	7	3	-1
0	-0.3	$<0.05	1	4	-1
-9	-1.3	remove<0.06	2	4	-1
9	-1.3	hp<0.19	3	4	-1
-18	-2.3	!<0.19	4	4	-1
-6	-2.3	p=0.90	5	4	-1
-24	-3.3	p=0.08	6	4	-1
-12	-3.3	p=0.50	7	4	-1
6	-2.3	p=0.94	8	4	-1
18	-2.3	p=0.15	9	4	-1
0	-0.3	$<0.05	1	5	-1
-9	-1.3	remove<0.06	2	5	-1
9	-1.3	hp<0.19	3	5	-1
-18	-2.3	!<0.19	4	5	-1
-6	-2.3	p=0.90	5	5	-1
-27	-3.3	p=0.08	6	5	-1
-9	-3.3	average<2.77	7	5	-1
6	-2.3	p=0.94	8	5	-1
18	-2.3	p=0.15	9	5	-1
-15	-4.3	p=0.28	10	5	-1
-3	-4.3	p=0.83	11	5	-1
0	-0.3	$<0.05	1	6	-1
-9	-1.3	remove<0.06	2	6	-1
9	-1.3	hp<0.19	3	6	-1
-18	-2.3	!<0.19	4	6	-1
-6	-2.3	p=0.90	5	6	-1
-27.5	-3.3	hp<0.03	6	6	-1
-8.5	-3.3	average<2.77	7	6	-1
6	-2.3	p=0.94	8	6	-1
18	-2.3	p=0.15	9	6	-1
-12	-4.3	p=0.28	10	6	-1
0	-4.3	p=0.83	11	6	-1
-36	-4.3	p=0.12	12	6	-1
-24	-4.3	p=0.01	13	6	-1
0	-0.3	$<0.05	1	7	-1
-9	-1.3	remove<0.06	2	7	-1
9	-1.3	hp<0.19	3	7	-1
-18	-2.3	!<0.19	4	7	-1
-6	-2.3	p=0.90	5	7	-1
-27.5	-3.3	hp<0.03	6	7	-1
-8.5	-3.3	average<2.77	7	7	-1
6	-2.3	p=0.94	8	7	-1
18	-2.3	p=0.15	9	7	-1
-10.25	-4.3	p=0.28	10	7	-1
1.75	-4.3	p=0.83	11	7	-1
-41.25	-4.3	longest<10.50	12	7	-1
-22.25	-4.3	p=0.01	13	7	-1
-47.25	-5.3	p=0.05	14	7	-1
-35.25	-5.3	p=0.26	15	7	-1
0	-0.3	$<0.05	1	8	-1
-9	-1.3	remove<0.06	2	8	-1
9	-1.3	hp<0.19	3	8	-1
-18	-2.3	!<0.19	4	8	-1
-6	-2.3	p=0.90	5	8	-1
-27.5	-3.3	hp<0.03	6	8	-1
-8.5	-3.3	average<2.77	7	8	-1
6	-2.3	p=0.94	8	8	-1
18	-2.3	p=0.15	9	8	-1
-10.25	-4.3	p=0.28	10	8	-1
1.75	-4.3	p=0.83	11	8	-1
-41.25	-4.3	longest<10.50	12	8	-1
-22.25	-4.3	p=0.01	13	8	-1
-48.25	-5.3	p=0.05	14	8	-1
-34.25	-5.3	our<0.72	15	8	-1
-40.25	-6.3	p=0.20	16	8	-1
-28.25	-6.3	p=0.87	17	8	-1
0	-0.3	$<0.05	1	9	-1
-9	-1.3	remove<0.06	2	9	-1
9	-1.3	hp<0.19	3	9	-1
-18	-2.3	!<0.19	4	9	-1
-6	-2.3	p=0.90	5	9	-1
-27.5	-3.3	hp<0.03	6	9	-1
-8.5	-3.3	average<2.77	7	9	-1
6	-2.3	p=0.94	8	9	-1
18	-2.3	p=0.15	9	9	-1
-9.5	-4.3	free<0.07	10	9	-1
5.5	-4.3	p=0.83	11	9	-1
-43.5	-4.3	longest<10.50	12	9	-1
-24.5	-4.3	p=0.01	13	9	-1
-50.5	-5.3	p=0.05	14	9	-1
-36.5	-5.3	our<0.72	15	9	-1
-42.5	-6.3	p=0.20	16	9	-1
-30.5	-6.3	p=0.87	17	9	-1
-15.5	-5.3	p=0.17	18	9	-1
-3.5	-5.3	p=0.71	19	9	-1
0	-0.3	$<0.05	1	10	-1
-9	-1.3	remove<0.06	2	10	-1
9	-1.3	hp<0.19	3	10	-1
-20.25	-2.3	!<0.19	4	10	-1
-8.25	-2.3	p=0.90	5	10	-1
-33	-3.3	hp<0.03	6	10	-1
-14	-3.3	average<2.77	7	10	-1
6.75	-2.3	your<0.40	8	10	-1
21.75	-2.3	p=0.15	9	10	-1
-15	-4.3	free<0.07	10	10	-1
-3.5527136788005e-15	-4.3	p=0.83	11	10	-1
-49	-4.3	longest<10.50	12	10	-1
-30	-4.3	p=0.01	13	10	-1
-56	-5.3	p=0.05	14	10	-1
-42	-5.3	our<0.72	15	10	-1
-48	-6.3	p=0.20	16	10	-1
-36	-6.3	p=0.87	17	10	-1
-21	-5.3	p=0.17	18	10	-1
-9	-5.3	p=0.71	19	10	-1
4	-3.3	p=0.76	20	10	-1
16	-3.3	p=0.97	21	10	-1
0	-0.3	$<0.05	1	11	-1
-9	-1.3	remove<0.06	2	11	-1
9	-1.3	hp<0.19	3	11	-1
-20.25	-2.3	!<0.19	4	11	-1
-8.25	-2.3	p=0.90	5	11	-1
-33	-3.3	hp<0.03	6	11	-1
-14	-3.3	average<2.77	7	11	-1
6.75	-2.3	your<0.40	8	11	-1
21.75	-2.3	p=0.15	9	11	-1
-15	-4.3	free<0.07	10	11	-1
-3.5527136788005e-15	-4.3	p=0.83	11	11	-1
-49	-4.3	longest<10.50	12	11	-1
-30	-4.3	p=0.01	13	11	-1
-57.5	-5.3	your<0.61	14	11	-1
-40.5	-5.3	our<0.72	15	11	-1
-43	-6.3	p=0.20	16	11	-1
-31	-6.3	p=0.87	17	11	-1
-21	-5.3	p=0.17	18	11	-1
-9	-5.3	p=0.71	19	11	-1
4	-3.3	p=0.76	20	11	-1
16	-3.3	p=0.97	21	11	-1
-67	-6.3	p=0.02	22	11	-1
-55	-6.3	p=0.15	23	11	-1
0	-0.3	$<0.05	1	12	-1
-9	-1.3	remove<0.06	2	12	-1
9	-1.3	hp<0.19	3	12	-1
-20.25	-2.3	!<0.19	4	12	-1
-8.25	-2.3	!<0.05	5	12	-1
-47.0833333333333	-3.3	hp<0.03	6	12	-1
-28.0833333333333	-3.3	average<2.77	7	12	-1
6.75	-2.3	your<0.40	8	12	-1
21.75	-2.3	p=0.15	9	12	-1
-29.0833333333333	-4.3	free<0.07	10	12	-1
-14.0833333333333	-4.3	p=0.83	11	12	-1
-63.0833333333333	-4.3	longest<10.50	12	12	-1
-44.0833333333333	-4.3	p=0.01	13	12	-1
-71.5833333333334	-5.3	your<0.61	14	12	-1
-54.5833333333334	-5.3	our<0.72	15	12	-1
-57.0833333333334	-6.3	p=0.20	16	12	-1
-45.0833333333334	-6.3	p=0.87	17	12	-1
-35.0833333333333	-5.3	p=0.17	18	12	-1
-23.0833333333333	-5.3	p=0.71	19	12	-1
13.9166666666667	-3.3	p=0.76	20	12	-1
25.9166666666667	-3.3	p=0.97	21	12	-1
-81.0833333333333	-6.3	p=0.02	22	12	-1
-69.0833333333334	-6.3	p=0.15	23	12	-1
-10.0833333333333	-3.3	p=0.69	24	12	-1
1.91666666666667	-3.3	p=0.97	25	12	-1
0	-0.3	$<0.05	1	13	-1
-9	-1.3	remove<0.06	2	13	-1
9	-1.3	hp<0.19	3	13	-1
-20.25	-2.3	!<0.19	4	13	-1
-8.25	-2.3	!<0.05	5	13	-1
-50.5833333333333	-3.3	hp<0.03	6	13	-1
-31.5833333333333	-3.3	average<2.77	7	13	-1
6.75	-2.3	your<0.40	8	13	-1
21.75	-2.3	p=0.15	9	13	-1
-32.5833333333333	-4.3	free<0.07	10	13	-1
-17.5833333333333	-4.3	p=0.83	11	13	-1
-66.5833333333334	-4.3	longest<10.50	12	13	-1
-47.5833333333334	-4.3	p=0.01	13	13	-1
-75.0833333333334	-5.3	your<0.61	14	13	-1
-58.0833333333333	-5.3	our<0.72	15	13	-1
-60.5833333333333	-6.3	p=0.20	16	13	-1
-48.5833333333333	-6.3	p=0.87	17	13	-1
-38.5833333333333	-5.3	p=0.17	18	13	-1
-26.5833333333333	-5.3	p=0.71	19	13	-1
17.4166666666667	-3.3	longest<15.50	20	13	-1
36.4166666666667	-3.3	p=0.97	21	13	-1
-84.5833333333333	-6.3	p=0.02	22	13	-1
-72.5833333333334	-6.3	p=0.15	23	13	-1
-13.5833333333333	-3.3	p=0.69	24	13	-1
-1.58333333333333	-3.3	p=0.97	25	13	-1
11.4166666666667	-4.3	p=0.46	26	13	-1
23.4166666666667	-4.3	p=0.93	27	13	-1
0	-0.3	$<0.05	1	14	-1
-9	-1.3	remove<0.06	2	14	-1
9	-1.3	hp<0.19	3	14	-1
-20.25	-2.3	!<0.19	4	14	-1
-8.25	-2.3	!<0.05	5	14	-1
-50.5833333333333	-3.3	hp<0.03	6	14	-1
-31.5833333333333	-3.3	average<2.77	7	14	-1
